BrickStone Cafe & Restaurant	66 Broad St NW, Atlanta, GA 30303	Italian		4.2	https://www.google.com/maps/place/BrickStone+Cafe+%26+Restaurant/@33.7559513,-84.3937876,16z/data=!4m9!1m2!2m1!1sitalian+restaurant!3m5!1s0x88f503871dbdeb9b:0x930c0e743efc12e1!8m2!3d33.7559516!4d-84.3894102!15sChJpdGFsaWFuIHJlc3RhdXJhbnRaFCISaXRhbGlhbiByZXN0YXVyYW50kgESaXRhbGlhbl9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU13YW5aMlZHRlJFQUU
Amalfi Pizza	17 Andrew Young International Blvd NE, Atlanta, GA 30303	Italian	$$	4.1	https://www.google.com/maps/place/Amalfi+Pizza/@33.7559513,-84.3937876,16z/data=!3m1!5s0x88f504786b7f4bd9:0x4890485f43935e5b!4m9!1m2!2m1!1sitalian+restaurant!3m5!1s0x88f50478135f76c5:0x7e9a4a0e49885be5!8m2!3d33.759604!4d-84.386965!15sChJpdGFsaWFuIHJlc3RhdXJhbnRaFCISaXRhbGlhbiByZXN0YXVyYW50kgESaXRhbGlhbl9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJOYURabWRsSkJFQUU
Slice Downtown	85 Poplar St NW, Atlanta, GA 30303	Italian	$	4.5	https://www.google.com/maps/place/Slice+Downtown/@33.7559513,-84.3937876,16z/data=!3m1!5s0x88f5038739488919:0x670fac578f344841!4m9!1m2!2m1!1sitalian+restaurant!3m5!1s0x88f50387394c7bfd:0xe5be0c6a58b3bce0!8m2!3d33.7568816!4d-84.3901029!15sChJpdGFsaWFuIHJlc3RhdXJhbnRaFCISaXRhbGlhbiByZXN0YXVyYW50kgEQcGl6emFfcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSQmNtOXBPRE5CUlJBQg
Papinos Italian Restaurant	303 Peachtree Center Ave NE, Atlanta, GA 30303	Italian		3.6	https://www.google.com/maps/place/Papinos+Italian+Restaurant/@33.7559513,-84.3937876,16z/data=!4m9!1m2!2m1!1sitalian+restaurant!3m5!1s0x88f50479e05ea211:0x3d686679c4fd27d5!8m2!3d33.7627197!4d-84.3858958!15sChJpdGFsaWFuIHJlc3RhdXJhbnRaFCISaXRhbGlhbiByZXN0YXVyYW50kgESaXRhbGlhbl9yZXN0YXVyYW50
Noni's	357 Edgewood Ave SE, Atlanta, GA 30312	Italian	$$	4.4	https://www.google.com/maps/place/Noni's/@33.7559513,-84.3937876,16z/data=!3m1!5s0x88f5038b3a5ff991:0x34ce3ea7c139dfb1!4m9!1m2!2m1!1sitalian+restaurant!3m5!1s0x88f5038b3a97828b:0xe71526543914fb47!8m2!3d33.7542638!4d-84.3759703!15sChJpdGFsaWFuIHJlc3RhdXJhbnRaFCISaXRhbGlhbiByZXN0YXVyYW50kgESaXRhbGlhbl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJyTnpneVdtNVJSUkFC
Mama Mia Pizza and Wings	78 Broad St NW, Atlanta, GA 30303	Italian	$	4	https://www.google.com/maps/place/Mama+Mia+Pizza+and+Wings/@33.7559513,-84.3937876,16z/data=!4m9!1m2!2m1!1sitalian+restaurant!3m5!1s0x88f50387034c8005:0xc120971e31fabbbc!8m2!3d33.7562709!4d-84.3889342!15sChJpdGFsaWFuIHJlc3RhdXJhbnRaFCISaXRhbGlhbiByZXN0YXVyYW50kgEQcGl6emFfcmVzdGF1cmFudA
Rosa's Pizza	62 Broad St NW, Atlanta, GA 30303	Italian	$	4.6	https://www.google.com/maps/place/Rosa's+Pizza/@33.7571127,-84.3892012,15.48z/data=!3m1!5s0x88f5038730b50275:0xe767418257a8514b!4m9!1m2!2m1!1sitalian+restaurant!3m5!1s0x88f5047adf723f95:0xcc1109cdd0657b2c!8m2!3d33.7558648!4d-84.3895039!15sChJpdGFsaWFuIHJlc3RhdXJhbnRaFCISaXRhbGlhbiByZXN0YXVyYW50kgEQcGl6emFfcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOTGVHOVlZalZCUlJBQg
a mano	587 Ralph McGill Blvd NE, Atlanta, GA 30312	Italian	$$	4.7	https://www.google.com/maps/place/a+mano/@33.7571127,-84.3892012,15.48z/data=!4m9!1m2!2m1!1sitalian+restaurant!3m5!1s0x88f5040ece4b5833:0x9923aaddb621c389!8m2!3d33.7638344!4d-84.3679659!15sChJpdGFsaWFuIHJlc3RhdXJhbnRaFCISaXRhbGlhbiByZXN0YXVyYW50kgESaXRhbGlhbl9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVE0TVRaVU5WTjNFQUU
BoccaLupo	753 Edgewood Ave NE, Atlanta, GA 30307	Italian	$$	4.6	https://www.google.com/maps/place/BoccaLupo/@33.7571127,-84.3892012,15.48z/data=!3m1!5s0x88f503f84d880a3d:0x6fa0cd2b97e2b086!4m9!1m2!2m1!1sitalian+restaurant!3m5!1s0x88f503f8520670bf:0x732cae770524e4a1!8m2!3d33.7548016!4d-84.3627698!15sChJpdGFsaWFuIHJlc3RhdXJhbnRaFCISaXRhbGlhbiByZXN0YXVyYW50kgESaXRhbGlhbl9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54ZUhGSGJFNTNFQUU
Sotto Sotto Restaurant	313 North Highland Avenue Northeast, Atlanta, GA 30307	Italian	$$$	4.5	https://www.google.com/maps/place/Sotto+Sotto+Restaurant/@33.7630244,-84.3639471,15z/data=!3m1!5s0x88f50403dbd3db81:0xa95695c495057d4e!4m9!1m2!2m1!1sitalian+restaurant!3m5!1s0x88f50403d980dcf3:0x95cfa309f019d041!8m2!3d33.7630244!4d-84.3576665!15sChJpdGFsaWFuIHJlc3RhdXJhbnRaFCISaXRhbGlhbiByZXN0YXVyYW50kgESaXRhbGlhbl9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5SY1U5NmNtSkJFQUU
